"alert_id","fecha","simbolo","estrategia","direccion","estado","expiration","precio_entrada","precio_cierre","pl_pct","mfe_pct","mae_pct","minutos_abierta","motivo_cierre","integridad"
"A-20260713-0AEDF714","2026-07-13","NVDA","1VR — PRIMERA VELA ROJA","PUT","CLOSED","2026-07-20",3.05,6.1,100.0,101.64,-66.56,5755,"gtc","COHERENTE"
"A-20260713-2D1DEF1E","2026-07-13","AMZN","GBA+2 — GAP BAJISTA ALZA","CALL","CLOSED","2026-07-20",3.45,0.01,-99.71,72.46,-99.71,10153,"vencimiento","COHERENTE"
"A-20260713-502B4382","2026-07-13","SPCX","1VR — PRIMERA VELA ROJA","PUT","CLOSED","2026-07-24",6.1,12.3,101.64,101.64,-21.31,5744,"gtc","COHERENTE"
"A-20260713-59DA0481","2026-07-13","MU","1VR — PRIMERA VELA ROJA","PUT","CLOSED","2026-07-20",50.85,102.35,101.28,101.28,-67.85,5760,"gtc","COHERENTE"
"A-20260713-6945A030","2026-07-13","GLD","1VR — PRIMERA VELA ROJA","PUT","CLOSED","2026-07-20",3.75,0.97,-74.13,74.67,-87.2,10454,"vencimiento","COHERENTE"
"A-20260713-8446681E","2026-07-13","SPY","RPG — RUPTURA PISO GAP","PUT","CANCELLED","2026-07-20","","","","","","","","COHERENTE"
"A-20260713-969BBF37","2026-07-13","AAPL","RPG+ — RUPTURA PISO GAP","PUT","CLOSED","2026-07-20",3.55,0.01,-99.72,33.8,-99.72,10207,"vencimiento","COHERENTE"
"A-20260713-D0E51BC9","2026-07-13","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","2026-07-24","","","","","","","","COHERENTE"
"A-20260713-F02E8EBD","2026-07-13","META","RPG+ — RUPTURA PISO GAP","PUT","CANCELLED","2026-07-20","","","","","","","","COHERENTE"
"A-20260714-39060984","2026-07-14","AAPL","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","2026-07-22","","","","","","","","COHERENTE"
"A-20260714-65146FAF","2026-07-14","META","GBA+2 — GAP BAJISTA ALZA","CALL","CLOSED","2026-07-22",17.55,0.01,-99.94,55.84,-99.94,11713,"vencimiento","COHERENTE"
"A-20260714-68C6699A","2026-07-14","SPY","GNA+2 — GAP NORMAL ALZA","CALL","CLOSED","2026-07-21",3.0,0.01,-99.67,39.33,-99.67,10274,"vencimiento","COHERENTE"
"A-20260714-714D8E58","2026-07-14","SPCX","RPG — RUPTURA PISO GAP","PUT","CLOSED","2026-07-24",5.4,11.4,111.11,116.67,-3.7,4121,"gtc","COHERENTE"
"A-20260714-B890B593","2026-07-14","MU","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","2026-07-22","","","","","","","","COHERENTE"
"A-20260714-CC95EACE","2026-07-14","AMZN","GBA+2 — GAP BAJISTA ALZA","CALL","CLOSED","2026-07-22",3.45,7.0,102.9,104.35,-10.14,1287,"gtc","COHERENTE"
"A-20260714-D3C392CD","2026-07-14","GOOG","GBA+2 — GAP BAJISTA ALZA","CALL","CLOSED","2026-07-24",10.35,0.01,-99.9,93.72,-99.9,14526,"vencimiento","COHERENTE"
