alert_id,fecha_alerta,simbolo,estrategia,direccion,expiration,precio_entrada,precio_cierre,pl_pct,mfe_pct,mae_pct,minutos_abierta,motivo_cierre,origen_periodo,integridad
A-20260723-60F7D44C,2026-07-23,NVDA,1VR — PRIMERA VELA ROJA,PUT,2026-07-31,4.15,8.35,101.2,110.84,-34.46,5795,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260724-D5533DAB,2026-07-24,NVDA,1VR — PRIMERA VELA ROJA,PUT,2026-07-31,3.4,6.8,100.0,108.82,-42.35,4355,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260721-2E9093F0,2026-07-21,NVDA,1VR — PRIMERA VELA ROJA,PUT,2026-07-29,4.05,8.15,101.23,101.23,-70.37,8698,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260720-0958952D,2026-07-20,NVDA,1VR — PRIMERA VELA ROJA,PUT,2026-07-27,3.75,7.5,100.0,109.33,-90.67,10170,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260720-11319BA7,2026-07-20,GLD,1VR — PRIMERA VELA ROJA,PUT,2026-07-27,3.0,0.01,-99.67,3.33,-99.67,10455,vencimiento,ACTUALIZACION_BASE,COHERENTE
A-20260720-07A0AB8E,2026-07-20,MU,1VR — PRIMERA VELA ROJA,PUT,2026-07-27,50.85,0.02,-99.96,22.22,-99.96,10455,vencimiento,ACTUALIZACION_BASE,COHERENTE
A-20260724-3B5359D5,2026-07-24,MU,1VR — PRIMERA VELA ROJA,PUT,2026-07-31,55.3,111.35,101.36,101.36,-8.41,5742,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260727-DED4F821,2026-07-27,MU,1VR — PRIMERA VELA ROJA,PUT,2026-08-03,51.8,104.1,100.97,100.97,-5.6,1435,gtc,NUEVA_ALERTA,COHERENTE
A-20260727-6E3861C3,2026-07-27,NVDA,1VR — PRIMERA VELA ROJA,PUT,2026-08-03,4.0,8.0,100.0,110.0,-16.25,1440,gtc,NUEVA_ALERTA,COHERENTE
A-20260721-57CA87E4,2026-07-21,META,1VR — PRIMERA VELA ROJA,PUT,2026-07-31,30.2,60.95,101.82,101.82,-6.95,10134,gtc,ACTUALIZACION_BASE,COHERENTE
A-20260721-B3983109,2026-07-21,SPY,1VR — PRIMERA VELA ROJA,PUT,2026-07-28,4.06,0.48,-88.18,81.53,-93.6,10454,vencimiento,ACTUALIZACION_BASE,COHERENTE
A-20260727-AA88612E,2026-07-27,SPY,1VR — PRIMERA VELA ROJA,PUT,2026-08-03,4.57,9.15,100.22,100.88,-2.41,2938,gtc,NUEVA_ALERTA,COHERENTE
A-20260721-1439D2BF,2026-07-21,AAPL,1VR — PRIMERA VELA ROJA,PUT,2026-07-29,3.5,0.03,-99.14,14.29,-99.43,11894,vencimiento,ACTUALIZACION_BASE,COHERENTE
