"alert_id","position_id","alert_date","terminal_at","symbol","strategy","state","terminal_reason","pnl_pct","mfe_pct","mae_pct","duration_minutes","expiration"
"A-20260803-09B66100","bff8946a","2026-08-03","2026-08-05T09:47:08.120878-04:00","NVDA","GBA — GAP BAJISTA ALZA","CLOSED","gtc",178.16,236.18,-3.75,2805,"2026-08-10"
"A-20260803-D92E0238","27ac6ccc","2026-08-03","2026-08-05T10:03:56.642937-04:00","BA","GNA+2 — GAP NORMAL ALZA","CLOSED","gtc",101.92,101.92,-12.5,2696,"2026-08-14"
"A-20260805-F1641E05","","2026-08-05","2026-08-05T10:06:02.678924-04:00","AAPL","1VR — PRIMERA VELA ROJA","CANCELLED","EXECUTE","","","","","2026-08-12"
"A-20260805-BB8DD2F6","","2026-08-05","2026-08-05T10:06:07.311432-04:00","AMZN","1VR — PRIMERA VELA ROJA","CANCELLED","EXECUTE","","","","","2026-08-12"
"A-20260805-A9AEE7F0","","2026-08-05","2026-08-05T10:06:10.688287-04:00","GOOG","1VR — PRIMERA VELA ROJA","CANCELLED","EXECUTE","","","","","2026-08-14"
"A-20260805-1751FB6C","","2026-08-05","2026-08-05T10:06:14.208727-04:00","META","1VR — PRIMERA VELA ROJA","CANCELLED","EXECUTE","","","","","2026-08-12"
"A-20260805-7DEDA729","","2026-08-05","2026-08-05T15:16:59.059000-04:00","SPCX","RPG+ — RUPTURA PISO GAP","CANCELLED","EXPIRED","","","","","2026-08-14"
"A-20260728-2F679FA6","3d072619","2026-07-28","2026-08-05T16:17:05.739469-04:00","NVDA","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.74,16.88,-99.74,11890,"2026-08-05"
"A-20260728-B506D05B","0e16d2ae","2026-07-28","2026-08-05T16:17:06.634037-04:00","MU","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.98,53.34,-99.98,11889,"2026-08-05"
"A-20260729-047A97FB","9b88fd34","2026-07-29","2026-08-05T16:17:07.349653-04:00","GLD","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-98.86,12.86,-98.86,10455,"2026-08-05"
"A-20260729-1067B07C","43de5370","2026-07-29","2026-08-05T16:17:08.122589-04:00","NVDA","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.77,69.77,-99.77,10455,"2026-08-05"
"A-20260729-D0A2B6F9","4dd8d242","2026-07-29","2026-08-05T16:17:08.867658-04:00","AMZN","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.85,12.78,-99.85,10455,"2026-08-05"
"A-20260729-DF3160FB","c4dc870e","2026-07-29","2026-08-05T16:17:09.680948-04:00","MU","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.98,83.52,-99.98,10455,"2026-08-05"
"A-20260806-65A22B5A","","2026-08-06","2026-08-06T12:16:59.476031-04:00","GOOG","RPG — RUPTURA PISO GAP","CANCELLED","EXPIRED","","","","","2026-08-14"
"A-20260806-5013AD58","","2026-08-06","2026-08-06T14:16:59.675743-04:00","AAPL","RPG — RUPTURA PISO GAP","CANCELLED","EXPIRED","","","","","2026-08-14"
"A-20260806-16A0809E","","2026-08-06","2026-08-06T16:14:00.003505-04:00","SPCX","GBA+2 — GAP BAJISTA ALZA","CANCELLED","EXPIRED","","","","","2026-08-14"
"A-20260805-647B1F9A","8c682662","2026-08-05","2026-08-07T09:50:56.088420-04:00","GLD","GNA — GAP NORMAL ALZA","CLOSED","gtc",101.12,101.12,-36.18,2809,"2026-08-12"
"A-20260807-658A7880","","2026-08-07","2026-08-07T11:06:18.949811-04:00","SPY","GNA — GAP NORMAL ALZA","CANCELLED","DERBY","","","","","2026-08-14"
"A-20260727-79B8AD09","d68c2c61","2026-07-27","2026-08-07T16:15:01.134796-04:00","SPCX","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.9,23.3,-99.9,16212,"2026-08-07"
"A-20260729-756F57EA","bbb680ed","2026-07-29","2026-08-07T16:15:02.078387-04:00","BA","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.77,62.07,-99.77,13333,"2026-08-07"
"A-20260729-7DEFEB58","2ccf60dc","2026-07-29","2026-08-07T16:15:02.979792-04:00","GOOG","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-99.81,16.67,-99.81,13333,"2026-08-07"
"A-20260729-5347E4FE","956f069f","2026-07-29","2026-08-07T16:15:03.883392-04:00","SPCX","1VR — PRIMERA VELA ROJA","CLOSED","vencimiento",-89.71,13.59,-99.9,13333,"2026-08-07"
