terminal_ts,alert_id,simbolo,estrategia,tipo,terminal,evento,pl_pct,pl_usd,mfe_pct,mae_pct,duracion_min,vencimiento
2026-08-17T10:01:01-04:00,A-20260817-A2676F97,SPY,1VR — PRIMERA VELA ROJA,,CANCELLED,THESIS_COUNTERSIGNAL_SUPPRESSED,,,,,,
2026-08-17T10:01:03-04:00,A-20260817-1C8C7E20,AAPL,1VR — PRIMERA VELA ROJA,,CANCELLED,THESIS_COUNTERSIGNAL_SUPPRESSED,,,,,,
2026-08-17T10:17:24-04:00,A-20260817-3A4BE045,NVDA,1VR — PRIMERA VELA ROJA,,CANCELLED,ORDER_EXPIRED,,,,,,2026-08-24
2026-08-17T11:17:24-04:00,A-20260817-3359C9FA,MU,GNA — GAP NORMAL ALZA,,CANCELLED,ORDER_EXPIRED,,,,,,2026-08-24
2026-08-17T12:01:09-04:00,A-20260817-3BDBFE54,GLD,GNA+2 — GAP NORMAL ALZA,,CANCELLED,THESIS_COUNTERSIGNAL_SUPPRESSED,,,,,,
2026-08-17T12:16:25-04:00,A-20260817-36220CBB,NVDA,GNA+2 — GAP NORMAL ALZA,,CANCELLED,ORDER_EXPIRED,,,,,,2026-08-24
2026-08-17T12:57:13-04:00,A-20260810-EB134BD2,META,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,100.00,3030.00,104.95,-77.52,10254,2026-08-17
2026-08-17T16:16:18-04:00,A-20260810-17072223,GLD,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,-95.89,-700.00,4.11,-96.44,10453,2026-08-17
2026-08-17T16:16:19-04:00,A-20260810-2AD4EECC,AAPL,GBA+2 — GAP BAJISTA ALZA,CALL,CLOSED,POSITION_CLOSED,-99.64,-279.00,3.21,-99.64,10093,2026-08-17
2026-08-18T09:45:54-04:00,A-20260814-9A92400A,AMZN,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,36.05,106.00,90.48,-11.22,5743,2026-08-21
2026-08-18T09:46:05-04:00,A-20260817-5889E10B,BA,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,20.00,70.00,20.00,-14.29,1424,2026-08-28
2026-08-18T09:46:40-04:00,A-20260813-7D2268A1,SPY,GNA+2 — GAP NORMAL ALZA,CALL,CLOSED,POSITION_CLOSED,-96.55,-448.00,7.76,-96.55,6885,2026-08-20
2026-08-18T09:47:17-04:00,A-20260810-75291C8E,GOOG,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,84.00,1050.00,88.80,-28.00,11504,2026-08-21
2026-08-18T09:47:41-04:00,A-20260810-7E075E5E,SPCX,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,-88.39,-685.00,9.68,-95.23,11504,2026-08-21
2026-08-18T10:31:17-04:00,A-20260818-C66EEDF3,AAPL,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,-40.86,-143.00,0.00,-40.86,29,2026-08-26
2026-08-18T10:32:07-04:00,A-20260818-9412F2B8,AMZN,1VR — PRIMERA VELA ROJA,PUT,CLOSED,POSITION_CLOSED,-18.25,-50.00,0.36,-18.25,27,2026-08-26
