terminal_ts,alert_id,simbolo,estrategia,tipo,terminal,evento,pl_pct,pl_usd,mfe_pct,mae_pct,duracion_min,vencimiento,chain_id,chain_role,cohorte
"2026-08-24T10:16:58.434248-04:00","A-20260824-7BD24692","SPY","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-08-31","CHAIN-A-20260818-EA750AC0","REINFORCEMENT","CHAIN-001"
"2026-08-24T10:16:58.603301-04:00","A-20260824-8E9607F3","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-08-24T10:16:58.769958-04:00","A-20260824-FD2D105D","GLD","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-08-31","CHAIN-A-20260818-D0CAE682","REINFORCEMENT","CHAIN-001"
"2026-08-24T10:16:58.953219-04:00","A-20260824-BA097023","MU","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-08-31",,,
"2026-08-24T11:01:03.487703-04:00","A-20260824-D973859A","AAPL","GNA — GAP NORMAL ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260821-FB959EC2","COUNTERSIGNAL","CHAIN-001"
"2026-08-24T11:01:16.105040-04:00","A-20260824-B1F009D1","GOOG","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260819-00AC50BD","COUNTERSIGNAL","CHAIN-001"
"2026-08-24T11:01:23.595649-04:00","A-20260824-A9C0959B","SPCX","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260819-B7ABF086","COUNTERSIGNAL","CHAIN-001"
"2026-08-24T12:16:59.174145-04:00","A-20260824-2EFB2BBA","AMZN","GNA+2 — GAP NORMAL ALZA","CALL","CANCELLED","ORDER_EXPIRED",,,,,,"2026-08-31","CHAIN-A-20260818-4EE18557","REINFORCEMENT","CHAIN-001"
"2026-08-25T10:01:18.958597-04:00","A-20260825-D9E2B1DF","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260818-4EE18557","COUNTERSIGNAL","CHAIN-001"
"2026-08-25T10:16:59.618331-04:00","A-20260825-BD20355A","SPY","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-01","CHAIN-A-20260818-EA750AC0","REINFORCEMENT","CHAIN-001"
"2026-08-25T10:16:59.806797-04:00","A-20260825-4B0C9614","AAPL","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-02","CHAIN-A-20260821-FB959EC2","REINFORCEMENT","CHAIN-001"
"2026-08-25T10:16:59.984866-04:00","A-20260825-D6D8AF09","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-08-25T10:17:00.178870-04:00","A-20260825-27E25E44","GOOG","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04","CHAIN-A-20260819-00AC50BD","REINFORCEMENT","CHAIN-001"
"2026-08-25T11:01:08.653870-04:00","A-20260825-DD84583C","GLD","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260818-D0CAE682","COUNTERSIGNAL","CHAIN-001"
"2026-08-25T16:20:10.108846-04:00","A-20260818-EA750AC0","SPY","1VR — PRIMERA VELA ROJA","PUT","CLOSED","VENCIMIENTO",-98.9,-269.0,73.16,-98.9,10458,"2026-08-25","CHAIN-A-20260818-EA750AC0","MATRIZ","CHAIN-001"
"2026-08-25T16:20:11.084828-04:00","A-20260818-D0CAE682","GLD","RPG — RUPTURA PISO GAP","PUT","CLOSED","VENCIMIENTO",-99.69,-324.0,3.08,-99.69,10338,"2026-08-25","CHAIN-A-20260818-D0CAE682","MATRIZ","CHAIN-001"
"2026-08-26T10:01:14.778741-04:00","A-20260826-98DA2B64","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260818-4EE18557","COUNTERSIGNAL","CHAIN-001"
"2026-08-26T14:17:00.715210-04:00","A-20260826-A70A1ECD","MU","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-02",,,
"2026-08-26T15:01:00.955922-04:00","A-20260826-4C234BBB","SPY","CNF — RUPTURA CANAL","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260818-EA750AC0","COUNTERSIGNAL","CHAIN-001"
"2026-08-26T15:01:23.848554-04:00","A-20260826-B79306DC","SPCX","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260819-B7ABF086","COUNTERSIGNAL","CHAIN-001"
"2026-08-26T16:19:21.517428-04:00","A-20260818-F6441113","META","1VR — PRIMERA VELA ROJA","PUT","CLOSED","VENCIMIENTO",-99.91,-1114.0,10.76,-99.91,11894,"2026-08-26","CHAIN-A-20260818-F6441113","MATRIZ","CHAIN-001"
"2026-08-26T16:19:22.638387-04:00","A-20260818-4EE18557","AMZN","CNF — RUPTURA CANAL","CALL","CLOSED","VENCIMIENTO",-99.67,-304.0,52.46,-99.67,11717,"2026-08-26","CHAIN-A-20260818-4EE18557","MATRIZ","CHAIN-001"
"2026-08-26T16:19:23.611782-04:00","A-20260819-19C22CAE","SPY","1VR — PRIMERA VELA ROJA","PUT","CLOSED","VENCIMIENTO",-68.77,-925.0,118.22,-69.89,10457,"2026-08-26","CHAIN-A-20260818-EA750AC0","CONFIRMACION","CHAIN-001"
"2026-08-27T10:01:29.628018-04:00","A-20260827-EB173211","MU","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","NO_OPTION_AVAILABLE",,,,,,,,,
"2026-08-27T10:16:49.606196-04:00","A-20260827-E423DCF9","SPY","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-03","CHAIN-A-20260818-EA750AC0","REINFORCEMENT","CHAIN-001"
"2026-08-27T10:16:49.807615-04:00","A-20260827-8D9ADD4B","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-08-27T10:16:50.000695-04:00","A-20260827-EA904CDB","GLD","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-03","CHAIN-A-20260818-D0CAE682","REINFORCEMENT","CHAIN-001"
"2026-08-27T10:16:50.212929-04:00","A-20260827-2F334312","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04",,,
"2026-08-27T10:16:50.419652-04:00","A-20260827-70EB5C03","SPCX","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED",,,,,,"2026-09-04","CHAIN-A-20260819-B7ABF086","REINFORCEMENT","CHAIN-001"
"2026-08-27T11:01:01.486302-04:00","A-20260827-CA8DF232","SPY","CNF — RUPTURA CANAL","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260818-EA750AC0","COUNTERSIGNAL","CHAIN-001"
"2026-08-27T11:01:04.112571-04:00","A-20260827-BC95581D","AAPL","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED",,,,,,,"CHAIN-A-20260821-FB959EC2","COUNTERSIGNAL","CHAIN-001"
