"terminal_ts","alert_id","simbolo","estrategia","tipo","terminal","evento","pl_pct","pl_usd","mfe_pct","mae_pct","duracion_min","vencimiento","chain_id","chain_role","cohorte"
"2026-09-04T16:17:26.741042-04:00","A-20260828-EA2C78A6","AMZN","CNF — RUPTURA CANAL","CALL","CLOSED","POSITION_CLOSED",-99.62,-259.0,67.31,-99.62,10393,"2026-09-04","CHAIN-A-20260828-EA2C78A6","MATRIZ","CHAIN-001"
"2026-09-04T16:17:25.746593-04:00","A-20260826-78946909","BA","RPG — RUPTURA PISO GAP","PUT","CLOSED","POSITION_CLOSED",-99.59,-240.0,32.78,-99.59,13271,"2026-09-04","CHAIN-A-20260819-063CE618","CONFIRMACION","CHAIN-001"
"2026-09-04T16:17:24.785865-04:00","A-20260826-8B7E2101","GOOG","1VR — PRIMERA VELA ROJA","PUT","CLOSED","POSITION_CLOSED",-59.8,-299.0,69.0,-81.2,13333,"2026-09-04","CHAIN-A-20260819-00AC50BD","CONFIRMACION","CHAIN-001"
"2026-09-04T15:16:46.988268-04:00","A-20260904-385C8D2E","GLD","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-04T15:01:06.402567-04:00","A-20260904-26CC5171","BA","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260819-063CE618","COUNTERSIGNAL","CHAIN-001"
"2026-09-04T13:16:46.756663-04:00","A-20260904-101EEAE6","MU","GNA+2 — GAP NORMAL ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-04T10:16:46.533061-04:00","A-20260904-2A6FCBCD","META","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-04T10:16:46.348550-04:00","A-20260904-996DB575","GOOG","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","CHAIN-A-20260819-00AC50BD","REINFORCEMENT","CHAIN-001"
"2026-09-04T10:16:46.143760-04:00","A-20260904-9FEB590F","AAPL","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-04T10:01:15.641446-04:00","A-20260904-67A61426","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260828-EA2C78A6","COUNTERSIGNAL","CHAIN-001"
"2026-09-04T09:52:36.602258-04:00","A-20260902-BD621814","MU","GBA+2 — GAP BAJISTA ALZA","CALL","CLOSED","POSITION_CLOSED",100.0,2210.0,135.29,-37.78,2737,"2026-09-09","CHAIN-A-20260902-BD621814","MATRIZ","CHAIN-001"
"2026-09-03T14:16:45.658869-04:00","A-20260903-D80010D8","NVDA","GNA+2 — GAP NORMAL ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-03T10:16:45.365810-04:00","A-20260903-8638DAAA","GLD","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","TRADIER_REVIEW_EXPIRED","","","","","","2026-09-10","","",""
"2026-09-03T10:16:45.186952-04:00","A-20260903-CD1861AB","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-09-03T10:01:24.515820-04:00","A-20260903-689F0121","MU","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260902-BD621814","COUNTERSIGNAL","CHAIN-001"
"2026-09-02T16:15:03.641788-04:00","A-20260826-EE138684","META","1VR — PRIMERA VELA ROJA","PUT","CLOSED","POSITION_CLOSED",-99.91,-1114.0,0.0,-99.91,10451,"2026-09-02","CHAIN-A-20260818-F6441113","CONFIRMACION","CHAIN-001"
"2026-09-02T13:01:18.822755-04:00","A-20260902-5A30392E","META","GNA+2 — GAP NORMAL ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260818-F6441113","COUNTERSIGNAL","CHAIN-001"
"2026-09-02T12:01:16.549204-04:00","A-20260902-800ACD87","GOOG","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260819-00AC50BD","COUNTERSIGNAL","CHAIN-001"
"2026-09-02T11:16:44.678829-04:00","A-20260902-295B98FE","NVDA","GNA — GAP NORMAL ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-09-02T10:16:44.466492-04:00","A-20260902-735374C5","SPCX","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-02T10:16:44.279535-04:00","A-20260902-7CA4DC16","AAPL","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-09-01T15:16:43.808155-04:00","A-20260901-703AC22B","GLD","RPG — RUPTURA PISO GAP","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-08","","",""
"2026-09-01T13:16:43.565068-04:00","A-20260901-E7927AF6","BA","RPG — RUPTURA PISO GAP","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-09-01T12:16:43.332755-04:00","A-20260901-FC1C641F","GLD","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-08","","",""
"2026-09-01T11:16:43.103500-04:00","A-20260901-CACA7685","SPCX","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-09-01T11:16:42.904797-04:00","A-20260901-73859910","NVDA","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-09-01T11:01:20.135126-04:00","A-20260901-11B0D933","META","GBA — GAP BAJISTA ALZA","CALL","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260818-F6441113","COUNTERSIGNAL","CHAIN-001"
"2026-09-01T10:16:42.702274-04:00","A-20260901-FD325799","MU","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-09-01T10:16:42.519470-04:00","A-20260901-DF7C8E8A","SPY","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-08","","",""
"2026-09-01T10:01:15.829127-04:00","A-20260901-ED1F398A","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260828-EA2C78A6","COUNTERSIGNAL","CHAIN-001"
"2026-08-31T16:17:46.982749-04:00","A-20260824-C182F0E0","NVDA","1VR — PRIMERA VELA ROJA","PUT","CLOSED","POSITION_CLOSED",-99.82,-569.0,7.02,-99.82,10440,"2026-08-31","CHAIN-A-20260818-AE895A20","CONFIRMACION","CHAIN-001"
"2026-08-31T16:13:42.098066-04:00","A-20260831-07510722","SPCX","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","","",""
"2026-08-31T16:13:41.897561-04:00","A-20260831-5DE79CBB","MU","CNF — RUPTURA CANAL","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-08-31T16:13:41.715719-04:00","A-20260831-159DACEA","MU","GBA+2 — GAP BAJISTA ALZA","CALL","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-08-31T10:16:41.442352-04:00","A-20260831-1C3D3FE6","META","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","CHAIN-A-20260818-F6441113","REINFORCEMENT","CHAIN-001"
"2026-08-31T10:16:37.109404-04:00","A-20260831-7300EAF5","GOOG","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","CHAIN-A-20260819-00AC50BD","REINFORCEMENT","CHAIN-001"
"2026-08-31T10:16:36.898575-04:00","A-20260831-86D6DD2E","NVDA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","CHAIN-A-20260818-AE895A20","REINFORCEMENT","CHAIN-001"
"2026-08-31T10:16:36.710298-04:00","A-20260831-126E5409","GLD","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-08","","",""
"2026-08-31T10:16:36.490239-04:00","A-20260831-E2E3341D","BA","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-11","CHAIN-A-20260819-063CE618","REINFORCEMENT","CHAIN-001"
"2026-08-31T10:16:36.309489-04:00","A-20260831-FE2A7810","AAPL","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-09","","",""
"2026-08-31T10:16:36.124749-04:00","A-20260831-5858B375","SPY","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","ORDER_EXPIRED","","","","","","2026-09-08","","",""
"2026-08-31T10:01:22.581731-04:00","A-20260831-39DA047E","AMZN","1VR — PRIMERA VELA ROJA","PUT","CANCELLED","THESIS_COUNTERSIGNAL_SUPPRESSED","","","","","","","CHAIN-A-20260828-EA2C78A6","COUNTERSIGNAL","CHAIN-001"
